name,note,8v,#/b,clef,score_image,keyboard_full_image,keyboard_octave_image,sound_file,piano_key#,order,tags
F2 Bass,F,2,,bass,"<img src=""piano/images/score/029-21-2-bass-F2-score.png""/>","<img src=""piano/images/keyboard/21-2-F2-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F-keyboard-octave.png""/>",[sound:piano/audio/029-21-2-bass-F2.mp3],21,2,
F2# Bass,F,2,#,bass,"<img src=""piano/images/score/030-22-2-bass-F2#-score.png""/>","<img src=""piano/images/keyboard/22-2-F2#-G2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/030-22-2-bass-F2#.mp3],22,2,
G2b Bass,G,2,b,bass,"<img src=""piano/images/score/033-22-2-bass-G2b-score.png""/>","<img src=""piano/images/keyboard/22-2-F2#-G2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/033-22-2-bass-G2b.mp3],22,2,
G2 Bass,G,2,,bass,"<img src=""piano/images/score/031-23-2-bass-G2-score.png""/>","<img src=""piano/images/keyboard/23-2-G2-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G-keyboard-octave.png""/>",[sound:piano/audio/031-23-2-bass-G2.mp3],23,2,
G2# Bass,G,2,#,bass,"<img src=""piano/images/score/032-24-2-bass-G2#-score.png""/>","<img src=""piano/images/keyboard/24-2-G2#-A2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/032-24-2-bass-G2#.mp3],24,2,
A2b Bass,A,2,b,bass,"<img src=""piano/images/score/036-24-2-bass-A2b-score.png""/>","<img src=""piano/images/keyboard/24-2-G2#-A2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/036-24-2-bass-A2b.mp3],24,2,
A2 Bass,A,2,,bass,"<img src=""piano/images/score/034-25-2-bass-A2-score.png""/>","<img src=""piano/images/keyboard/25-2-A2-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A-keyboard-octave.png""/>",[sound:piano/audio/034-25-2-bass-A2.mp3],25,2,
A2# Bass,A,2,#,bass,"<img src=""piano/images/score/035-26-2-bass-A2#-score.png""/>","<img src=""piano/images/keyboard/26-2-A2#-B2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/035-26-2-bass-A2#.mp3],26,2,
B2b Bass,B,2,b,bass,"<img src=""piano/images/score/038-26-2-bass-B2b-score.png""/>","<img src=""piano/images/keyboard/26-2-A2#-B2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/038-26-2-bass-B2b.mp3],26,2,
B2 Bass,B,2,,bass,"<img src=""piano/images/score/037-27-2-bass-B2-score.png""/>","<img src=""piano/images/keyboard/27-2-B2-keyboard.png""/>","<img src=""piano/images/keyboard-octave/B-keyboard-octave.png""/>",[sound:piano/audio/037-27-2-bass-B2.mp3],27,2,
C3 Treble,C,3,,treble,"<img src=""piano/images/score/039-28-3-treble-C3-score.png""/>","<img src=""piano/images/keyboard/28-3-C3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C-keyboard-octave.png""/>",[sound:piano/audio/039-28-3-treble-C3.mp3],28,3,
C3# Treble,C,3,#,treble,"<img src=""piano/images/score/040-29-3-treble-C3#-score.png""/>","<img src=""piano/images/keyboard/29-3-C3#-D3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/040-29-3-treble-C3#.mp3],29,3,
D3b Treble,D,3,b,treble,"<img src=""piano/images/score/043-29-3-treble-D3b-score.png""/>","<img src=""piano/images/keyboard/29-3-C3#-D3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/043-29-3-treble-D3b.mp3],29,3,
D3 Treble,D,3,,treble,"<img src=""piano/images/score/041-30-3-treble-D3-score.png""/>","<img src=""piano/images/keyboard/30-3-D3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D-keyboard-octave.png""/>",[sound:piano/audio/041-30-3-treble-D3.mp3],30,3,
D3# Treble,D,3,#,treble,"<img src=""piano/images/score/042-31-3-treble-D3#-score.png""/>","<img src=""piano/images/keyboard/31-3-D3#-E3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/042-31-3-treble-D3#.mp3],31,3,
E3b Treble,E,3,b,treble,"<img src=""piano/images/score/045-31-3-treble-E3b-score.png""/>","<img src=""piano/images/keyboard/31-3-D3#-E3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/045-31-3-treble-E3b.mp3],31,3,
