name,note,8v,#/b,clef,score_image_front,score_image_back,keyboard_full_image_front,keyboard_full_image_back,keyboard_octave_image,keyboard_blank_image,sound_file,piano_key#,order,tags
D2# bass,D,2,#,bass,"<img src=""piano-score-front-025-19-2-bass-D2#.png""/>","<img src=""piano-score-back-025-19-2-bass-D2#.png""/>","<img src=""piano-keyboard-front-19-2-D2#-E2b.png""/>","<img src=""piano-keyboard-back-19-2-D2#-E2b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-025-19-2-bass-D2#.mp3],19,2,
E2b bass,E,2,b,bass,"<img src=""piano-score-front-028-19-2-bass-E2b.png""/>","<img src=""piano-score-back-028-19-2-bass-E2b.png""/>","<img src=""piano-keyboard-front-19-2-D2#-E2b.png""/>","<img src=""piano-keyboard-back-19-2-D2#-E2b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-028-19-2-bass-E2b.mp3],19,2,
E2 bass,E,2,,bass,"<img src=""piano-score-front-027-20-2-bass-E2.png""/>","<img src=""piano-score-back-027-20-2-bass-E2.png""/>","<img src=""piano-keyboard-front-20-2-E2.png""/>","<img src=""piano-keyboard-back-20-2-E2.png""/>","<img src=""piano-keyboard-octave-back-E.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-027-20-2-bass-E2.mp3],20,2,
F2 bass,F,2,,bass,"<img src=""piano-score-front-029-21-2-bass-F2.png""/>","<img src=""piano-score-back-029-21-2-bass-F2.png""/>","<img src=""piano-keyboard-front-21-2-F2.png""/>","<img src=""piano-keyboard-back-21-2-F2.png""/>","<img src=""piano-keyboard-octave-back-F.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-029-21-2-bass-F2.mp3],21,2,
F2# bass,F,2,#,bass,"<img src=""piano-score-front-030-22-2-bass-F2#.png""/>","<img src=""piano-score-back-030-22-2-bass-F2#.png""/>","<img src=""piano-keyboard-front-22-2-F2#-G2b.png""/>","<img src=""piano-keyboard-back-22-2-F2#-G2b.png""/>","<img src=""piano-keyboard-octave-back-F#-Gb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-030-22-2-bass-F2#.mp3],22,2,
G2b bass,G,2,b,bass,"<img src=""piano-score-front-033-22-2-bass-G2b.png""/>","<img src=""piano-score-back-033-22-2-bass-G2b.png""/>","<img src=""piano-keyboard-front-22-2-F2#-G2b.png""/>","<img src=""piano-keyboard-back-22-2-F2#-G2b.png""/>","<img src=""piano-keyboard-octave-back-F#-Gb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-033-22-2-bass-G2b.mp3],22,2,
G2 bass,G,2,,bass,"<img src=""piano-score-front-031-23-2-bass-G2.png""/>","<img src=""piano-score-back-031-23-2-bass-G2.png""/>","<img src=""piano-keyboard-front-23-2-G2.png""/>","<img src=""piano-keyboard-back-23-2-G2.png""/>","<img src=""piano-keyboard-octave-back-G.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-031-23-2-bass-G2.mp3],23,2,
G2# bass,G,2,#,bass,"<img src=""piano-score-front-032-24-2-bass-G2#.png""/>","<img src=""piano-score-back-032-24-2-bass-G2#.png""/>","<img src=""piano-keyboard-front-24-2-G2#-A2b.png""/>","<img src=""piano-keyboard-back-24-2-G2#-A2b.png""/>","<img src=""piano-keyboard-octave-back-G#-Ab.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-032-24-2-bass-G2#.mp3],24,2,
A2b bass,A,2,b,bass,"<img src=""piano-score-front-036-24-2-bass-A2b.png""/>","<img src=""piano-score-back-036-24-2-bass-A2b.png""/>","<img src=""piano-keyboard-front-24-2-G2#-A2b.png""/>","<img src=""piano-keyboard-back-24-2-G2#-A2b.png""/>","<img src=""piano-keyboard-octave-back-G#-Ab.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-036-24-2-bass-A2b.mp3],24,2,
A2 bass,A,2,,bass,"<img src=""piano-score-front-034-25-2-bass-A2.png""/>","<img src=""piano-score-back-034-25-2-bass-A2.png""/>","<img src=""piano-keyboard-front-25-2-A2.png""/>","<img src=""piano-keyboard-back-25-2-A2.png""/>","<img src=""piano-keyboard-octave-back-A.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-034-25-2-bass-A2.mp3],25,2,
A2# bass,A,2,#,bass,"<img src=""piano-score-front-035-26-2-bass-A2#.png""/>","<img src=""piano-score-back-035-26-2-bass-A2#.png""/>","<img src=""piano-keyboard-front-26-2-A2#-B2b.png""/>","<img src=""piano-keyboard-back-26-2-A2#-B2b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-035-26-2-bass-A2#.mp3],26,2,
B2b bass,B,2,b,bass,"<img src=""piano-score-front-038-26-2-bass-B2b.png""/>","<img src=""piano-score-back-038-26-2-bass-B2b.png""/>","<img src=""piano-keyboard-front-26-2-A2#-B2b.png""/>","<img src=""piano-keyboard-back-26-2-A2#-B2b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-038-26-2-bass-B2b.mp3],26,2,
B2 bass,B,2,,bass,"<img src=""piano-score-front-037-27-2-bass-B2.png""/>","<img src=""piano-score-back-037-27-2-bass-B2.png""/>","<img src=""piano-keyboard-front-27-2-B2.png""/>","<img src=""piano-keyboard-back-27-2-B2.png""/>","<img src=""piano-keyboard-octave-back-B.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-037-27-2-bass-B2.mp3],27,2,
C3 treble,C,3,,treble,"<img src=""piano-score-front-039-28-3-treble-C3.png""/>","<img src=""piano-score-back-039-28-3-treble-C3.png""/>","<img src=""piano-keyboard-front-28-3-C3.png""/>","<img src=""piano-keyboard-back-28-3-C3.png""/>","<img src=""piano-keyboard-octave-back-C.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-039-28-3-treble-C3.mp3],28,3,
C3# treble,C,3,#,treble,"<img src=""piano-score-front-040-29-3-treble-C3#.png""/>","<img src=""piano-score-back-040-29-3-treble-C3#.png""/>","<img src=""piano-keyboard-front-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-back-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-040-29-3-treble-C3#.mp3],29,3,
D3b treble,D,3,b,treble,"<img src=""piano-score-front-043-29-3-treble-D3b.png""/>","<img src=""piano-score-back-043-29-3-treble-D3b.png""/>","<img src=""piano-keyboard-front-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-back-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-043-29-3-treble-D3b.mp3],29,3,
D3 treble,D,3,,treble,"<img src=""piano-score-front-041-30-3-treble-D3.png""/>","<img src=""piano-score-back-041-30-3-treble-D3.png""/>","<img src=""piano-keyboard-front-30-3-D3.png""/>","<img src=""piano-keyboard-back-30-3-D3.png""/>","<img src=""piano-keyboard-octave-back-D.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-041-30-3-treble-D3.mp3],30,3,
D3# treble,D,3,#,treble,"<img src=""piano-score-front-042-31-3-treble-D3#.png""/>","<img src=""piano-score-back-042-31-3-treble-D3#.png""/>","<img src=""piano-keyboard-front-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-back-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-042-31-3-treble-D3#.mp3],31,3,
E3b treble,E,3,b,treble,"<img src=""piano-score-front-045-31-3-treble-E3b.png""/>","<img src=""piano-score-back-045-31-3-treble-E3b.png""/>","<img src=""piano-keyboard-front-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-back-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-045-31-3-treble-E3b.mp3],31,3,
E3 treble,E,3,,treble,"<img src=""piano-score-front-044-32-3-treble-E3.png""/>","<img src=""piano-score-back-044-32-3-treble-E3.png""/>","<img src=""piano-keyboard-front-32-3-E3.png""/>","<img src=""piano-keyboard-back-32-3-E3.png""/>","<img src=""piano-keyboard-octave-back-E.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-044-32-3-treble-E3.mp3],32,3,
