name,octave,clef,treble_note,treble_octaves,treble_octaves_hidden,bass_note,bass_octaves,bass_octaves_hidden,order,filename
G3,3,treble,r4 g4,"r4 g,4 g4 g'4","r4 \hideNotes g,4 g4 g'4",r2,r1,r1,3,048-35-3-treble-G3
G3#,3,treble,r4 gis4,"r4 gis,4 gis4 gis'4","r4 \hideNotes gis,4 gis4 gis'4",r2,r1,r1,3,049-36-3-treble-G3#
A3b,3,treble,r4 aes4,"r4 aes,4 aes4 aes'4","r4 \hideNotes aes,4 aes4 aes'4",r2,r1,r1,3,053-36-3-treble-A3b
A3,3,treble,r4 a4,"r4 a,4 a4 a'4","r4 \hideNotes a,4 a4 a'4",r2,r1,r1,3,051-37-3-treble-A3
A3#,3,treble,r4 ais4,"r4 ais,4 ais4 ais'4","r4 \hideNotes ais,4 ais4 ais'4",r2,r1,r1,3,052-38-3-treble-A3#
B3b,3,treble,r4 bes4,"r4 bes,4 bes4 bes'4","r4 \hideNotes bes,4 bes4 bes'4",r2,r1,r1,3,055-38-3-treble-B3b
B3,3,treble,r4 b4,"r4 b,4 b4 b'4","r4 \hideNotes b,4 b4 b'4",r2,r1,r1,3,054-39-3-treble-B3
C3,3,bass,r2,r1,r1,r4 c4,"r4 c,4 c4 c'4","r4 \hideNotes c,4 c4 c'4",1,056-28-3-bass-C3
C3#,3,bass,r2,r1,r1,r4 cis4,"r4 cis,4 cis4 cis'4","r4 \hideNotes cis,4 cis4 cis'4",1,057-29-3-bass-C3#
D3b,3,bass,r2,r1,r1,r4 des4,"r4 des,4 des4 des'4","r4 \hideNotes des,4 des4 des'4",1,060-29-3-bass-D3b
D3,3,bass,r2,r1,r1,r4 d4,"r4 d,4 d4 d'4","r4 \hideNotes d,4 d4 d'4",1,058-30-3-bass-D3
D3#,3,bass,r2,r1,r1,r4 dis4,"r4 dis,4 dis4 dis'4","r4 \hideNotes dis,4 dis4 dis'4",1,059-31-3-bass-D3#
E3b,3,bass,r2,r1,r1,r4 ees4,"r4 ees,4 ees4 ees'4","r4 \hideNotes ees,4 ees4 ees'4",1,062-31-3-bass-E3b
E3,3,bass,r2,r1,r1,r4 e4,"r4 e,4 e4 e'4","r4 \hideNotes e,4 e4 e'4",1,061-32-3-bass-E3
F3,3,bass,r2,r1,r1,r4 f4,"r4 f,4 f4 f'4","r4 \hideNotes f,4 f4 f'4",1,063-33-3-bass-F3
